name,lat,lon,addr,roof_area_m2,peak_kw,panel_count,annual_kwh,savings_eur,payback_yrs,co2_tonnes,system_cost,email_found,email_sent,website
"Building at 34.7047,33.0613",34.7046843,33.0613155,"2, Iapetou, Limassol, 4101",500.0,50.0,100,75505,13968,3.8,43.0,52500,,False,
"Building at 34.7064,33.0633",34.7064185,33.063343,"4a, Alkidamou, Limassol, 4101",500.0,50.0,100,75505,13968,3.8,43.0,52500,,False,
Asbis,34.7053165,33.0634059,"5, Iapetou, Limassol, 4101",500.0,50.0,100,75506,13969,3.8,43.0,52500,,False,
