name,lat,lon,addr,roof_area_m2,peak_kw,panel_count,annual_kwh,savings_eur,payback_yrs,co2_tonnes,system_cost,email_found,email_sent,gmaps_url,gmb_found,gmb_name,gmb_phone,gmb_website,gmb_address,google_types,place_id,website,phone
"Building at 34.7080,33.0723",34.70799498421053,33.07228325263158,Cyprus,5317.08646423556,531.5,1063,802621,148485,3.8,457.5,558075,,False,"https://www.google.com/maps?q=34.707995,33.072283",False,,,,,,,,
"Building at 34.7062,33.0744",34.706224475,33.074353675,Cyprus,4746.05333084236,474.5,949,716547,132561,3.8,408.4,498225,,False,"https://www.google.com/maps?q=34.706224,33.074354",False,,,,,,,,
"Building at 34.7077,33.0739",34.707730670588234,33.07387085294118,Cyprus,3577.292251023861,357.5,715,539864,99875,3.8,307.7,375375,,False,"https://www.google.com/maps?q=34.707731,33.073871",False,,,,,,,,
