Κατάλογος Εξαιρέσεων από Άδεια,,,,,,,,,,,,,
Όνομα Αδειούχου,Αριθμός Άδειας,Ημερομηνία Έναρξης,Ημερομηνία Λήξης,Ισχύς (KW),Αποθήκευση ενέργειας – Ισχύς εξόδου (kW),Αποθήκευση ενέργειας – Αποθηκευτική ισχύς (kWh),Τεχνολογία,Τύπος Τεχνολογίας,Καύσιμο,Τύπος Άδειας,Καθεστώς Λειτουργίας,Επαρχία,Δήμος/Κοινότητα
ΚΕΡΑΜΕΙΟ ΑΝΔΡΕΑΣ ΚΑΣΑΠΗΣ ΛΤΔ,Ε004749/2025,23/04/2025,22/04/2027,320,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λάρνακα,Καλαβασός
GP RODIK SERVICES LTD,Ε004748/2025,15/04/2025,14/04/2030,2580,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αβδελερό
GP RODIK SERVICES LTD,Ε004747/2025,15/04/2025,14/04/2030,5000,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αβδελερό
GP RODIK SERVICES LTD,Ε004746/2025,15/04/2025,14/04/2030,4780,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αβδελερό
GP RODIK SERVICES LTD,Ε004745/2025,15/04/2025,14/04/2030,2915,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αβδελερό
GP RODIK SERVICES LTD,Ε004744/2025,15/04/2025,14/04/2030,4050,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αβδελερό
GP RODIK SERVICES LTD,Ε004743/2025,15/04/2025,14/04/2030,2790,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αβδελερό
GP RODIK SERVICES LTD,Ε004742/2025,15/04/2025,14/04/2030,4910,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αβδελερό
GP RODIK SERVICES LTD,Ε004741/2025,15/04/2025,14/04/2030,4990,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αβδελερό
GP RODIK SERVICES LTD,Ε004740/2025,15/04/2025,14/04/2030,4890,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αβδελερό
GP RODIK SERVICES LTD,Ε004739/2025,15/04/2025,14/04/2030,3340,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αβδελερό
GP RODIK SERVICES LTD,Ε004738/2025,15/04/2025,14/04/2030,4950,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αβδελερό
KOSTAS TEA FOR TWO LTD,Ε004737/2025,23/04/2025,22/04/2027,149.64,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Πάφος,Μαραθούντα
YIOTLAND LTD,Ε004736/2025,23/04/2025,22/04/2027,71.78,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Πάφος,Πομός
PLETEA INVESTMENTS LTD,Ε004735/2025,15/04/2025,14/04/2030,6110,3000,5000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αθηαίνου
CYPV SUNRISING ENERGY LTD,Ε004734/2025,07/04/2025,06/04/2030,0,3000,6100,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Άγιος Ιωάννης
GIGAWATT GLOBAL (CYPRUS) LTD,Ε004733/2025,07/04/2025,06/04/2030,0,5000,10110,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Άγιος Ιωάννης
GIGAWATT GLOBAL (CYPRUS) LTD,Ε004732/2025,07/04/2025,06/04/2030,0,5000,10110,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Άγιος Ιωάννης
CYPRUS TRADING CORPORATION PLC,Ε004731/2025,07/04/2025,06/04/2037,320,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Στρόβολο
CYPRUS TRADING CORPORATION PLC,Ε004730/2025,07/04/2025,06/04/2037,364,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Στρόβολο
LAIKO - COSMOS TRADING LTD,Ε004729/2025,07/04/2025,06/04/2037,440,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Δάλι
MUFG FUND SERVICES (CYPRUS) LTD,Ε004728/2025,07/04/2025,06/04/2037,132,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Γερμασόγια
ΛΑΙΚΟΝ ΚΑΦΕΚΟΠΤΕΙΟΝ ΔΗΜΟΣΙΑ ΛΤΔ,Ε004727/2025,07/04/2025,06/04/2037,440,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Δάλι
CADAL LTD,Ε004726/2025,07/04/2025,06/04/2037,1000,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Δάλι
CADAL LTD,Ε004725/2025,07/04/2025,06/04/2037,800,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Δάλι
CADAL LTD,Ε004724/2025,07/04/2025,06/04/2037,400,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Δάλι
SUNMAR RESIDENCE LTD,Ε004723/2025,07/04/2025,06/04/2037,464,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Γερμασόγεια 
LIDL CYPRUS,Ε004722/2025,07/04/2025,06/04/2037,272,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Πάφος,-
GLYKI NERO ESTATE COMPANY LTD (ELYSIUM LTD),Ε004721/2025,07/04/2025,06/04/2037,640,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Πάφος,-
ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ - ΤΜΗΜΑ ΚΤΗΜΑΤΟΛΟΓΙΟΥ ΚΑΙ ΧΩΡΟΜΕΤΡΙΑΣ,Ε004720/2025,07/04/2025,06/04/2037,564,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Αγλαντζιά
EFSTATHIOS CH. CONSTANTINIDES LTD,Ε004719/2025,07/04/2025,06/04/2037,32,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Κάτω Πολεμίδια
ΑΝΩΤΑΤΟ ΔΙΚΑΣΤΗΡΙΟ ΚΥΠΡΟΥ,Ε004718/2025,07/04/2025,06/04/2037,176,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,-
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε004717/2025,15/04/2025,14/04/2055,119,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Μέσα Χωριό 
A.V. EARTH REGENERATION LTD,Ε004716/2025,07/04/2025,06/04/2055,1799,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αραδίππου 
LEALOUS LTD,Ε004715/2025,28/03/2025,27/03/2030,2764.5,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Δρομολαξιά
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε004714/2025,28/03/2025,27/03/2030,150,30,450,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Φιλούσα Χρυσοχούς
PANASKA TRADING COMPANY LTD,Ε004713/2025,28/03/2025,27/03/2030,0,300,1200,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Γέρι
GKA ENERGY LTD,Ε004712/2025,28/03/2025,27/03/2030,2240,2000,4070,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Κάτω Κουτραφά
ROYAL VALLEY HOLDINGS LTD,Ε004711/2025,28/03/2025,27/03/2030,4350,4350,6000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Ποταμιά
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε004709/2025,28/03/2025,27/03/2030,525,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Αμμόχωστος,Φρέναρος
HELLENIQ RENEWABLES CYPRUS PACHNA LTD,Ε004708/2025,28/03/2025,27/03/2030,3000,1500,6000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Αψιού
HELLENIQ RENEWABLES CYPRUS AGIA VARVARA LTD,Ε004707/2025,28/03/2025,27/03/2030,1370,1000,4000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Πάνω Δευτερά
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε004706/2025,28/03/2025,27/03/2030,119.34,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Πέγεια
BP-S 119 LTD,Ε004705/2025,28/03/2025,27/03/2030,500,500,1000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Λύμπια
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε004704/2025,28/03/2025,27/03/2030,500,500,500,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Αγιοί Τριμιθάς
SUN DANCE CITY LTD,Ε004703/2025,28/03/2025,27/03/2030,446,400,1000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Αμμόχωστος,Αυγόρου
TREZALO LTD,Ε004702/2025,28/03/2025,27/03/2037,128,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Πάφος,Πέγεια
E. EVANGELOU HOTELS LTD,Ε004701/2025,28/03/2025,27/03/2037,500,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Αμμόχωστος,Παραλίμνι
ΚΕΡΑΜΕΙΟ ΛΗΔΡΑ ΛΤΔ,Ε004700/2025,28/03/2025,27/03/2037,708,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Αγία Βαρβάρα
ΑΣΤΥΝΟΜΙΑ ΚΥΠΡΟΥ,Ε004699/2025,28/03/2025,27/03/2037,32,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Πισσούρι
ΑΣΤΥΝΟΜΙΑ ΚΥΠΡΟΥ,Ε004698/2025,28/03/2025,27/03/2037,32,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Πάφος,Κούκλια
ΑΣΤΥΝΟΜΙΑ ΚΥΠΡΟΥ,Ε004697/2025,28/03/2025,27/03/2037,80,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Αγλαντζιά
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε004696/2025,28/03/2025,27/03/2055,119.78,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αραδίππου 
BP-S 137 LTD,Ε004695/2025,21/03/2025,20/03/2030,700,700,2800,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Ορμήδεια
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε004694/2025,21/03/2025,20/03/2030,150,30,450,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Πέγεια
A.CH. DMD FUTURE ENERGY LTD,Ε004693/2025,21/03/2025,20/03/2030,1000,100,3000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Πέγεια
A.CH. DMD FUTURE ENERGY LTD,Ε004692/2025,21/03/2025,20/03/2030,1000,100,3000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,"Ακάμας, Πέγεια"
BP-S 100 LTD,Ε004691/2025,21/03/2025,20/03/2030,1100,1100,4400,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Αμμόχωστος,Αυγόρου
BP-S 115 LTD,Ε004690/2025,21/03/2025,20/03/2030,1100,1100,4400,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Αμμόχωστος,Σωτήρα
IGVA SOLAR ENERGY LTD,Ε004689/2025,21/03/2025,20/03/2030,4500,3000,3000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Πέρα Ορεινής
PETRONAV MARITIME LTD,Ε004688/2025,21/03/2025,20/03/2037,105,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,-
S.D.T. IOANNIDES BROS LTD,Ε004687/2025,21/03/2025,20/03/2037,480,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Λακατάμια
MICHAELIDES WINERY LTD,Ε004686/2025,21/03/2025,20/03/2037,99.2,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Ντίζελ,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Κοιλάνι
EUROFRESH FRUIT &AMP; VEGETABLES LTD,Ε004685/2025,21/03/2025,20/03/2037,240,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Γέρι
TELDAN LTD,Ε004684/2025,21/03/2025,20/03/2037,150,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Πάφος,Χλώρακας
ΕΠΑΡΧΙΑΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΛΕΜΕΣΟΥ ,Ε004683/2025,21/03/2025,20/03/2055,220,-,-,ΑΠΕ,Βιοαέριο,Βιοαέριο,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Αυτοπαραγωγή/Net-Billing,Λεμεσός,Κάτω Πολεμίδια
BIOLAND PROJECT 67 LTD,Ε004682/2025,21/03/2025,20/03/2055,120,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Σανίδα 
BIOLAND PROJECT 67 LTD,Ε004681/2025,21/03/2025,20/03/2055,120,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Σανίδα 
ΔΗΜΟΣ ΑΡΑΔΙΠΠΟΥ,Ε004680/2025,13/03/2025,12/03/2055,2960,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αραδίππου 
ΒΙΟΜΗΧΑΝΙΑ ΓΙΑΒΑΣΗΣ ΛΤΔ,Ε004679/2025,13/03/2025,12/03/2037,58,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Στρόβολος
ANVER HOLDINGS LTD ,Ε004678/2025,13/03/2025,12/03/2037,250,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εφεδρεία,Πάφος,Γεροσκήπου
ΔΗΜΟΣ ΠΟΛΕΜΙΔΙΩΝ,Ε004677/2025,06/03/2025,05/03/2030,5904,1968,10182,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Κάτω Πολεμίδια
DAISYRISE VENTURES LTD,Ε004676/2025,06/03/2025,05/03/2030,4500,2000,8400,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Ανώγυρα
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε004675/2025,27/02/2025,26/02/2030,500,500,500,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Αγιοί Τριμιθάς
AGM GREENFIELD LTD,Ε004674/2025,27/02/2025,26/02/2030,1000,1000,4500,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Αμμόχωστος,Φρέναρος
HELIOPEX 5 LTD,Ε004673/2025,27/02/2025,26/02/2030,2800,2800,5000,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Πετροφάνι
PHOENIX POWER 4 LTD,Ε004672/2025,27/02/2025,26/02/2030,7500,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Αμμόχωστος,Άχνα
SVEA SOLAR CYPRUS LTD,Ε004671/2025,21/02/2025,20/02/2030,0,3000,6880,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λευκωσία,Ανάγια
BP-S 108 LTD,Ε004670/2025,21/02/2025,20/02/2030,400,400,800,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Ορμήδεια
BP-S 111 LTD,Ε004669/2025,21/02/2025,20/02/2030,900,900,1800,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Αναφωτίδα
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε004668/2025,21/02/2025,20/02/2030,1500,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Κατασκευής Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λάρνακα,Μαρώνι
DTGS UNITY HOLDINGS LTD,Ε004667/2025,27/02/2025,26/02/2055,119,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Περιστερώνα Πάφου 
ΦΥΣΙΚΟ ΠΡΟΣΩΠΟ,Ε004666/2025,21/02/2025,20/02/2055,150,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Γεροσκήπου 
NEPHESH LTD,Ε004665/2025,21/02/2025,20/02/2055,1000,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Πάφος,Κονιά 
TEKOS RENEWABLE TECHNOLOGIES LTD,Ε004664/2025,14/02/2025,13/02/2055,1940,-,-,ΑΠΕ,Φωτοβολταϊκό Σύστημα,,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εμπορική Χρήση,Λεμεσός,Μοναγρούλι 
VLPG PLANT LTD,Ε004663/2025,10/02/2025,09/02/2037,128,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Μαρί-Βασιλικό
VLPG PLANT LTD,Ε004662/2025,10/02/2025,09/02/2037,648,-,-,Συμβατικά Καύσιμα,ΜΕΚ,,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Μαρί-Βασιλικό
ALLTIME TOURIST COMPLEX LTD,Ε004661/2025,10/02/2025,09/02/2037,600,-,-,Συμβατικά Καύσιμα,ΜΕΚ,,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Πύργος
ΠΑΡΑΔΕΙΣΙΩΤΗΣ ΛΤΔ,Ε004660/2025,10/02/2025,09/02/2037,132,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Μοσφιλωτή
ΠΑΡΑΔΕΙΣΙΩΤΗΣ ΛΤΔ,Ε004659/2025,10/02/2025,09/02/2037,80,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Περιστερώνα
ΠΑΡΑΔΕΙΣΙΩΤΗΣ ΛΤΔ,Ε004658/2025,10/02/2025,09/02/2037,60,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Ορά
ΠΑΡΑΔΕΙΣΙΩΤΗΣ ΛΤΔ,Ε004657/2025,10/02/2025,09/02/2037,120,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Ορά
ΠΑΡΑΔΕΙΣΙΩΤΗΣ ΛΤΔ ,Ε004656/2025,10/02/2025,09/02/2037,88,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λάρνακα,Ορά
ΧΡΙΣΤΙΝΑ ΚΩΝΣΤΑΝΤΙΝΟΥ ΛΤΔ,Ε004655/2025,10/02/2025,09/02/2037,50,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Πραστιό Αυδήμου
FATTAL HOTEL MANAGEMENT (CYPRUS) LTD,Ε004654/2025,10/02/2025,09/02/2037,800,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,-
PRIME AREAS DEVELOPERS LTD,Ε004653/2025,10/02/2025,09/02/2037,132,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Λειτουργίας Σταθμού Παραγωγής Ηλεκτρισμού,Εφεδρεία,Λευκωσία,Ακρόπολης
JOVARAS LTD,Ε004652/2025,10/02/2025,09/02/2037,1000,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λεμεσός,Γερμασόγεια
ΔΗΜΟΣ ΛΕΥΚΩΣΙΑΣ,Ε004651/2025,10/02/2025,09/02/2037,720,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Λευκωσία,Λευκωσίας
AKECHETA LTD,Ε004650/2025,10/02/2025,09/02/2037,220,-,-,Συμβατικά Καύσιμα,ΜΕΚ,Πετρέλαιο,Κατασκευής - Λειτουργίας,Εφεδρεία,Πάφος,Χλώρακας
